id,formattedAddress,city,state,zipCode,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listingType,listedDate,daysOnMarket,listingWebsite
"1530-Nw-Market-St,-Unit-214,-Seattle,-WA-98107","1530 Nw Market St, Unit 214, Seattle, WA 98107",Seattle,WA,98107,47.668944,-122.378028,Single Family,1,1,690,,Active,1895,Standard,2025-11-22T00:00:00.000Z,1,
"3433-14th-Ave-W,-Apt-2,-Seattle,-WA-98119","3433 14th Ave W, Apt 2, Seattle, WA 98119",Seattle,WA,98119,47.651348,-122.375237,Apartment,1,1,520,,Active,1375,Standard,2025-11-22T00:00:00.000Z,1,
"1030-Ne-125th-St,-Apt-3,-Seattle,-WA-98125","1030 Ne 125th St, Apt 3, Seattle, WA 98125",Seattle,WA,98125,47.719688,-122.316673,Apartment,2,1,680,,Active,1595,Standard,2025-11-22T00:00:00.000Z,1,
"3721-27th-Pl-W,-Apt-404,-Seattle,-WA-98199","3721 27th Pl W, Apt 404, Seattle, WA 98199",Seattle,WA,98199,47.653893,-122.391937,Apartment,2,2,937,,Active,2295,Standard,2025-11-22T00:00:00.000Z,1,
"2310-W-Dravus-St,-Seattle,-WA-98199","2310 W Dravus St, Seattle, WA 98199",Seattle,WA,98199,47.648627,-122.386513,Single Family,3,2.5,1671,,Active,3095,Standard,2025-11-22T00:00:00.000Z,1,
"1029-Summit-Ave-E,-Apt-12,-Seattle,-WA-98102","1029 Summit Ave E, Apt 12, Seattle, WA 98102",Seattle,WA,98102,47.628349,-122.326485,Apartment,1,1,548,,Active,1895,Standard,2025-11-22T00:00:00.000Z,1,
"8530-A-Nesbit-Ave-N,-Seattle,-WA-98103","8530-A Nesbit Ave N, Seattle, WA 98103",Seattle,WA,98103,47.691574,-122.343163,Townhouse,2,1,913,,Active,1695,Standard,2025-11-22T00:00:00.000Z,1,
"736-Bellevue-Pl-E,-Unit-212,-Seattle,-WA-98102","736 Bellevue Pl E, Unit 212, Seattle, WA 98102",Seattle,WA,98102,47.626171,-122.327576,Apartment,0,1,347,,Active,1162,Standard,2025-11-22T00:00:00.000Z,1,
"3200-16th-Ave-W,-Apt-205,-Seattle,-WA-98119","3200 16th Ave W, Apt 205, Seattle, WA 98119",Seattle,WA,98119,47.648693,-122.376976,Apartment,1,1,750,,Active,1825,Standard,2025-11-22T00:00:00.000Z,1,
"8809-23rd-Ave-NE,-Apt-2,-Seattle,-WA-98115","8809 23rd Ave NE, Apt 2, Seattle, WA 98115",Seattle,WA,98115,47.692402,-122.304451,Townhouse,2,1.5,1200,,Active,2058,Standard,2025-11-22T00:00:00.000Z,1,
"355-15th-Ave,---110,-Seattle,-WA-98122","355 15th Ave, # 110, Seattle, WA 98122",Seattle,WA,98122,47.605873,-122.31311,Apartment,0,1,348,,Active,1375,Standard,2025-11-22T00:00:00.000Z,1,
"2515A-E-Yesler-Way,-Seattle,-WA-98122","2515A E Yesler Way, Seattle, WA 98122",Seattle,WA,98122,47.601532,-122.299263,Townhouse,2,2,1188,,Active,3100,Standard,2025-11-22T00:00:00.000Z,1,
"9504-Ravenna-Ave-NE,-Apt-203,-Seattle,-WA-98115","9504 Ravenna Ave NE, Apt 203, Seattle, WA 98115",Seattle,WA,98115,47.698013,-122.304345,Condo,2,1,941,,Active,2400,Standard,2025-11-22T00:00:00.000Z,1,
"421-Bellevue-Ave-E,-Seattle,-WA-98102","421 Bellevue Ave E, Seattle, WA 98102",Seattle,WA,98102,47.622528,-122.326942,Apartment,1,1,638,1967,Active,1690,Standard,2025-11-22T00:00:00.000Z,1,
"519A-Martin-Luther-King-Jr-Way-S,-Seattle,-WA-98144","519A Martin Luther King Jr Way S, Seattle, WA 98144",Seattle,WA,98144,47.597433,-122.298025,Single Family,2,2,1147,2020,Active,3100,Standard,2025-11-22T00:00:00.000Z,1,
"5121-S-Garden-St,-Seattle,-WA-98118","5121 S Garden St, Seattle, WA 98118",Seattle,WA,98118,47.537449,-122.269359,Single Family,2,2,1500,,Active,2999,Standard,2025-11-22T00:00:00.000Z,1,
"355-15th-Ave,---305MFTE,-Seattle,-WA-98122","355 15th Ave, # 305MFTE, Seattle, WA 98122",Seattle,WA,98122,47.605873,-122.31311,Apartment,1,1,404,,Active,1575,Standard,2025-11-22T00:00:00.000Z,1,
"9006-18th-Ave-SW,-Seattle,-WA-98106","9006 18th Ave SW, Seattle, WA 98106",Seattle,WA,98106,47.522526,-122.357529,Single Family,3,2,1060,,Active,2375,Standard,2025-11-22T00:00:00.000Z,1,
"3028-Western-Ave,-Apt-513,-Seattle,-WA-98121","3028 Western Ave, Apt 513, Seattle, WA 98121",Seattle,WA,98121,47.617828,-122.355461,Single Family,1,1,590,,Active,1995,Standard,2025-11-22T00:00:00.000Z,1,
"469-N-36th-St,-Seattle,-WA-98103","469 N 36th St, Seattle, WA 98103",Seattle,WA,98103,47.651581,-122.352654,Apartment,3,1,1000,,Active,2200,Standard,2025-11-22T00:00:00.000Z,1,
"1806-23rd-Ave,---100,-Seattle,-WA-98122","1806 23rd Ave, # 100, Seattle, WA 98122",Seattle,WA,98122,47.61795,-122.302238,Apartment,0,1,158,,Active,775,Standard,2025-11-22T00:00:00.000Z,1,
"2445A-Nw-63rd-St,-Seattle,-WA-98107","2445A Nw 63rd St, Seattle, WA 98107",Seattle,WA,98107,47.674404,-122.389557,Townhouse,3,2.5,1274,,Active,3495,Standard,2025-11-22T00:00:00.000Z,1,
"3026-Nw-61st-St,-Seattle,-WA-98107","3026 Nw 61st St, Seattle, WA 98107",Seattle,WA,98107,47.673198,-122.396913,Single Family,4,3,3115,1914,Active,5250,Standard,2025-11-22T00:00:00.000Z,1,
"3312-W-Government-Way,-Unit-C,-Seattle,-WA-98199","3312 W Government Way, Unit C, Seattle, WA 98199",Seattle,WA,98199,47.66011,-122.400505,Single Family,3,2.5,1420,,Active,3600,Standard,2025-11-22T00:00:00.000Z,1,
"4508-Corliss-Ave-N-Apt-C,-Seattle,-WA-98103","4508 Corliss Ave N Apt C, Seattle, WA 98103",Seattle,WA,98103,47.661743,-122.330872,Single Family,1,1,600,,Active,1745,Standard,2025-11-22T00:00:00.000Z,1,
